name,url,price,price_type,rating,rating_count,vendor
LifeCam HD-3000,https://google.com/url?q=https://www.octo24.com/product_info.php%3Fproducts_id%3D680394%26language%3Dfr%26utm_source%3Dgooogle%26utm_medium%3Dcpc%26utm_campaign%3Dgoogle_shopping_fr%26srsltid%3DAfmBOoq6F5Y0lEasuw32NB2yR4BZSwYjT3G5NrJgXEEG6TnRjjMNJDYYTsg&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwIxAE&usg=AOvVaw2r4u_p8bRCdpvGuN0xy_vw,149.23,€,4.5,1890,OCTO24
Logitech HD Pro Webcam C920s - Webcam - Color - 1920 x 1080 - Audio,https://google.com/url?q=https://www.agpfrance.fr/10041-logitech-c920-pro-hd-webcam-1920-x-1080-pixels-usb-black-960-001257-5704174973607.html%3Fsrsltid%3DAfmBOoqz4EhARXqR-nzWD_0a3aF8eMeTk9WlBazhzr1MzeYXLSNmI5ULbqA&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwIxwE&usg=AOvVaw3Pm0xrWyWJ1aHu-DNGum6N,128.79,€,4.5,9745,AGP France Service
HP 620 FHD Webcam,https://google.com/url?q=https://www.hp.com/fr-fr/shop/product.aspx%3Fid%3D6Y7L2AA%26opt%3DABB%26sel%3DACC%26srsltid%3DAfmBOoo5ZBJBPZn2vhpW5wP7qD7ZabDBvpL79NIgThkLYbvAG8cgz_Cqrgo&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwIywE&usg=AOvVaw2dGVKMUo06MAD_oQMQS8kc,149.99,€,4.0,17,HP Store
"Webcam 1080P avec Microphone, caméra Web d'ordinateur USB, caméra d'ordinateur Plug and Play pour PC/Mac, pour le Streaming d'appels vidéo, la Confére",https://google.com/url?q=https://www.leroymerlin.fr/produits/webcam-1080p-avec-microphone-camera-web-ordinateur-usb-camera-ordinateur-plug-and-play-pour-pc-mac-pour-streaming-appels-video-confere-93591355.html%3FMegaboost%3D%26at_medium%3DSearch%252BEngines%26at_source%3Dgoogle%26at_campaign%3Dfiche-gratuite%26at_placement%3D3P&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwIzwE&usg=AOvVaw0b7f2l3zmAwQrYLJh5-0V3,25.36,€,4.0,13,Leroy Merlin
Logitech Brio 100 - Webcam,https://google.com/url?q=https://www.ldlc.com/fiche/PB00571992.html&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwI0wE&usg=AOvVaw0NXIPycVCCDooKUhvTvhFB,49.95,€,4.5,2481,LDLC
Elgato Facecam Full HD Streaming Camera,https://google.com/url?q=https://www.leboncoin.fr/ad/photo_audio_video/2971366756%3Fsrsltid%3DAfmBOooBunYi2vMd0ybRcxXi8LMO480YJwsIgTjTAZsshfHwN3kNXBPUZDE&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwI1wE&usg=AOvVaw1iVteQJfJWR-i4HwOSi0Pi,50.0,€,4.5,686,chez Leboncoin
Lenovo 500 FHD - Webcam,https://google.com/url?q=https://www.senetic.fr/product/4XC0V13599%3Fsrsltid%3DAfmBOoqvbIAKoo1okGCACJhv_LPFQB0UzGKUxjygl4wMSMrCYb9GKovRmAE&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwI3AE&usg=AOvVaw2nzns2alcn_uVeG9A2Q5xQ,51.11,€,4.5,1486,Senetic.fr
Elgato Facecam Pro Webcam,https://google.com/url?q=https://kulturegeek.fr/comparateur/produit/elgato-facecam-pro-47532&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwI4AE&usg=AOvVaw2_nQJ7-g2O3tPPQEIOEy9i,299.0,€,4.5,101,KultureGeek
Webcam HD 1080P USB Webcam avec couvercle de confidentialité et 2 micros antibruit mise au point automatique rapide EMEET Nova 96°FOV Webcam Grand,https://google.com/url?q=https://fr.aliexpress.com/item/1005004304206528.html%3F_randl_currency%3DEUR%26_randl_shipto%3DFR%26src%3Dgoogle%26pdp_npi%3D4%2540dis!EUR!153.01!54.99!!!!!%2540!12000028748124957!ppc!!!&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwI5AE&usg=AOvVaw2zKtGk-zuJK71zlxZB6_xe,54.99,€,4.5,51,AliExpress
Logitech C920s Pro HD Webcam,https://google.com/url?q=https://www.boulanger.com/ref/1125733%3Fseo-free-listing%3D1&opi=95576897&sa=U&ved=0ahUKEwiD2NftkaiNAxWaSKQEHcl4I-MQsDwI5wE&usg=AOvVaw1MSrcVo7jSjydhXcgWLbLE,69.99,€,4.5,9745,Boulanger
Logitech C920s Pro HD Webcam,https://google.com/url?q=https://www.boulanger.com/ref/1125733%3Fseo-free-listing%3D1&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAicAQ&usg=AOvVaw3GpzZ1l3cWn9JfasYrG1_5,69.99,€,4.5,9745,Boulanger
"Logitech Brio 300 Webcam, Blanc",https://google.com/url?q=https://www.cdiscount.com/informatique/clavier-souris-webcam/webcam-logitech-brio-300-full-hd-avec-confidential/f-1070208-log5099206104945.html&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAigAQ&usg=AOvVaw2C5LxcZfAU8OGlfEFoJ5ui,47.49,€,4.5,688,cdiscount.com
Razer Kiyo Pro USB Camera with High-Performance Adaptive Light Sensor - Uncompressed 1080p 60 FPS - HDR-Enabled at 30 FPS,https://google.com/url?q=https://www.galaxus.fr/fr/s1/product/razer-kiyo-pro-2-mpx-webcam-14952405%3Futm_campaign%3Dorganicshopping%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_content%3D2705624%26supplier%3D2705624&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAikAQ&usg=AOvVaw0oe8YStq02z-0BRD0D3m0o,119.04,€,4.5,768,Galaxus
Logitech Webcam Brio 300 Full HD en Blanc Cassé,https://google.com/url?q=https://www.shoppydeals.fr/logitech-brio-300-full-hd-webcam-off-white-960-001442-logitech-shoppydeals-fr/&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAioAQ&usg=AOvVaw1iROKenjEwH1U33FoZwn3t,64.2,€,4.5,688,Shoppydeals UK - ShoppyDeals France
Obsbot Tiny SE Webcam 1080P 100FPS 60PFS Full HD Webcam Equipped with Ai Automatic Tracking CMOS HDR PHASE difference Detection AF Filter Processing,https://google.com/url?q=https://www.joom.com/fr/products/67ab097162296b0115a09aa5%3Fcurrency%3DEUR%26utm_productid%3D67ab097162296b0115a09aa5%26utm_feed%3Dweb%26utm_hash%3D76d53af5cab35d3d2bd5b0c17f451072%26variant_id%3D67ab097162296b5115a09aa7%26gsAttrs%3DeyJyZWdpb24iOiJGUiIsICJzcGVjaWFsUHJpY2VVc2VkIjpmYWxzZX0g%26exp_price%3DMjMwLjAg%26utm_audienceid%3Dadvertising_web_gg_2d&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAisAQ&usg=AOvVaw1dfLVQZWo_JevXX5m9oi5Q,230.0,€,5.0,3,Joom
HP Webcam FHD 320,https://google.com/url?q=https://www.rueducommerce.fr/p/m24074015513.html&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAiwAQ&usg=AOvVaw1M4S020YH3CG3PNTdVJAHe,46.53,€,4.5,165,Rue du Commerce Marketplace
UGREEN Webcam HD CM678 Gray,https://google.com/url?q=https://www.ubuy.fr/fr/product/FHOHS0NDA-ugreen-hd-webcam-with-microphone-2-mics-clear-stereo-audio-1080p-30fps-web-camera-plug-and-play-85-view-usb-hd-video-webcam-for-live%3Fsrsltid%3DAfmBOooSVYBCR_btHcgOBVXPB5GUYrPk6a51R-Gw0E25xOkGfIn6dhFjioQ&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAi0AQ&usg=AOvVaw3oPb2dDRiVsjQXQOd8PJES,45.0,€,5.0,245,Ubuy
Logitech Brio 500 Webcam Graphite,https://google.com/url?q=https://www.galerieslafayette.com/p/webcam%2Bbrio%2B500%2Bhd%2Bgraphite-logitech/300417138554/4100&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAi4AQ&usg=AOvVaw197Mrd-4e1D26cXZjPAVcE,109.99,€,4.5,830,Galeries Lafayette
"Razer Kiyo X, Webcam",https://google.com/url?q=https://www.pccomponentes.fr/razer-kiyo-x-webcam-21-mp-1920-x-1080-pixels-usb-20-noir%3Fsrsltid%3DAfmBOoqQW3FfoC8L7P179SjUtk0t2Fe3ETWSPkkGs2Nh6mzdLDoIZTnGVZ4&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAi8AQ&usg=AOvVaw0DgWwldrSVZgHRVCmN0ekS,53.49,€,4.5,506,PcComponentes FR
Webcam Trust TW-350 4K,https://google.com/url?q=https://www.carrefour.fr/p/webcam-trust-tw-350/-enfoque-autom%25C3%25A1tico/-3840-x-2160-4k-uhd-8713439244229%3Fs%3D3158&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjAAQ&usg=AOvVaw3nqyUCOvYLaBW-hvueigMU,91.0,€,4.5,2,Carrefour
Razer Kiyo Webcam,https://google.com/url?q=https://www.boostboxx.com/fr/razer-kiyo-webcam.html&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjEAQ&usg=AOvVaw3wnK-6Z4IAi5LZoBrS8Nt1,69.9,€,4.5,2027,BoostBoxx
Logitech Brio Stream 4K Webcam,https://google.com/url?q=https://www.visunext.fr/p/logitech-brio-960-001194-webcam-1000007220/%3Fsrsltid%3DAfmBOop20ht83HhfTNbrtuaR3dPTY5SayM2YN6clUcjmKwHQsX-0RhQe5qc&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjIAQ&usg=AOvVaw36Uj_vFRPHoJsw9vQueH0g,169.99,€,4.5,318,visunext.fr
Port Designs Webcam HD 1080,https://google.com/url?q=https://www.cultura.com/p-port-connect-camera-webcam-full-hd-1080p-microphone-usb-a-usb-c-10450342.html&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjMAQ&usg=AOvVaw3PxtvNplquKu7Gw9ZnuoKN,35.3,€,4.0,66,Cultura.com
Microsoft LifeCam Studio for Business - Webcam,https://google.com/url?q=https://teclab-boutique.fr/products/copie-de-webcam-urbanfactory-full-hd%3Fvariant%3D40889555779628%26country%3DFR%26currency%3DEUR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjQAQ&usg=AOvVaw0AO4Sp2AAPZi98AjXwTL4M,79.9,€,4.5,628,Teclab
Microsoft LifeCam Cinema - Webcam,https://google.com/url?q=https://www.pop-informatique.com/Prix/LifeCam-Cinema-1133863.html%3Futm_source%3Dgoogle%26utm_medium%3Dcomparateur%26utm_campaign%3Dshopping&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjUAQ&usg=AOvVaw21uSkrWW8uUmaL_SeIPypg,155.9,€,4.5,889,Pop-Informatique
"Creative Live! Cam Sync 1080P V2, Webcam",https://google.com/url?q=https://www.conrad.fr/fr/p/webcam-full-hd-creative-live-cam-sync-1080p-v2-1920-x-1080-pixel-support-a-pince-2525892.html%3Fexperience%3Db2c%26utm_source%3Dgoogle%26utm_medium%3Dsurfaces%26utm_campaign%3Dshopping-feed%26utm_content%3Dfree-google-shopping-clicks%26utm_term%3D2525892&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjYAQ&usg=AOvVaw3j27fJ6j6zrll5EVkPFFiv,38.99,€,4.5,971,Conrad.fr
Asus C3 - Webcam,https://google.com/url?q=https://www.getgoods.com/fr-fr/index.php%3Fmp%3Dproducts%26file%3Dinfo%26ref%3D43%26products_model%3DY388492%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dfpla%26dciso%3DFR%26language%3Dfr%26srsltid%3DAfmBOopK-zVOic0Q3qatQfx_Kx0R0u9Ihq6UI9NJRFqy4FUySxNQZkwkdtk&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjcAQ&usg=AOvVaw05EeNk5Joif6A40NT2r8Jp,47.99,€,4.5,476,getgoods FR
Logitech Hébergement BRIO Webcam,https://google.com/url?q=https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_cam_puis_ref_est_in10103003.html%23gshop&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjgAQ&usg=AOvVaw0jiXi-PQtN1h1meJYNgN1D,169.99,€,4.5,2101,Top Achat
Webcam JVCU360-N,https://google.com/url?q=https://fr.shopping.rakuten.com/offer/buy/9919726115/j5create-jvcu360-webcam-a-360-resolution-de-capture-video-1080p-blanc-et-noir.html%3Ffbbaid%3D16473438024%26t%3D180112%26csp&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjkAQ&usg=AOvVaw01kbCaxlW-Nt_0WTYlmyM4,152.88,€,4.5,18,Rakuten - rarewaves-uk
Webcam avec Microphone intégré - 1280 x 720 - HD,https://google.com/url?q=https://www.conforama.fr/tv-son-multimedia/peripheriques-et-accessoires/accessoires-pc-tablette/tracer-hd-web008-webcam-1280x720p-usb-2-0-noir-trakam46732/p/M35577639%3Fsrsltid%3DAfmBOoqtP4Xa-DTtIlJKEq7r26ZS_LLY1SUsaYyMqc4dubuqzJSFz6F8e_0&opi=95576897&sa=U&ved=0ahUKEwino5nukaiNAxWUVaQEHX1uAFc4FBCwPAjoAQ&usg=AOvVaw16cksUH_ty-kyK6hOazjhl,26.65,€,4.5,96,Conforama
Obsbot Tiny Ai caméra,https://google.com/url?q=https://digistore.fr/obsbot-tiny-ptz-webcam-alimentes-par-lia/%3Fsrsltid%3DAfmBOop3wRdH3KyPEIsZerYREaVZb3qrxORh7yJGizX0bIhkRjvaEjXCcLo&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAigAQ&usg=AOvVaw1xXFWgJicuju5JU8LyzXhl,271.2,€,5.0,63,Digistore
Logitech HD Webcam C270,https://google.com/url?q=https://equipements.kalyzee.com/products/logitech-c270-webcam%3Fvariant%3D49222616908106%26country%3DFR%26currency%3DEUR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoo1S9q8JCJ_DeDUF6VJyBa9TwNjkb9qji1TPV6z5SWR5-Ok6Pf69h4&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAikAQ&usg=AOvVaw2WdUvQz_aQ7leM8Eo64NEv,31.99,€,4.5,33255,Kalyzée
Microsoft LifeCam HD-3000 for Business - Webcam,https://google.com/url?q=https://www.pixmania.com/fr/fr/microsoft-lifecam-hd3000-for-business-webcam-1-mp-1280-x-720-pixels-usb-20-noir-344814.html%3Foid%3D25418881%26srsltid%3DAfmBOoqrftuQubLu3etqvzVAhtWujCKacOpTdkMTC93LcUwQS6Jkz7becfs&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAioAQ&usg=AOvVaw0zyJYdS4SdDGFZyhUlOPe9,139.39,€,4.5,1890,Pixmania
Creative Live! Cam Sync 1080P V2 - Webcam Full HD avec mise en sourdine automatique et suppression du bruit pour les appels vidéo,https://google.com/url?q=https://fr.creative.com/p/webcams/creative-live-cam-sync-1080p-v2%23buy&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAisAQ&usg=AOvVaw2boveb3s3P_u10W8Awfhbm,29.99,€,4.5,971,Creative Labs
Webcam Krom NXKROMKAM Full HD - 30 FPS,https://google.com/url?q=https://www.carrefour.fr/p/krom-kam-webcam-1920-x-1080-pixels-usb-2.0-noir-8436587971174%3Fs%3D3158&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAivAQ&usg=AOvVaw0j14cpzD64lGtk6qSlpgCo,28.79,€,4.5,154,Carrefour
Logitech Webcam C505e,https://google.com/url?q=https://chipset.fr/boutique/peripheriques-pc/webcam/logitech-hd-webcam-c505e-960-001372/%3Fsrsltid%3DAfmBOoqL-V09QY7bngI34-3CCIYkI7c3ELifTvvoua6c79YBMsLJOnG_ICs&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAizAQ&usg=AOvVaw3HvL5R12_l3TdIGNo1zGvz,34.72,€,4.5,155,Chipset.fr
Logitech HD Pro Webcam C920,https://google.com/url?q=https://www.integration-reseaux.com/Prix/Webcam-Logitech-C920-24504.html%3Futm_source%3Dgoogle%26utm_medium%3Dcomparateur%26utm_campaign%3Dshopping&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAi3AQ&usg=AOvVaw2VHI8y4jalIyGNAuqq0WPb,98.93,€,4.5,9989,Integration-Reseaux
Trust Webcam Tanor Noir,https://google.com/url?q=https://www.electrodepot.fr/webcam-trust-fhd-tanor.html%3Fsrsltid%3DAfmBOoo65-FWI0GfkVHQZ7AdGxfd7iPzVonVx3M94W3rHuzyXl0Iy6SeGWw&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAi7AQ&usg=AOvVaw2tPvIoh5VqLrI3iYyRiREj,24.95,€,5.0,7,Electro Dépôt
QuickCam Pro 9000 - Carl Zeiss - 8MPixels - RightLight 2,https://google.com/url?q=https://www.backinuse.fr/products/logitech-quickcam-pro-9000%3Fvariant%3D47437205799260%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DBack%2520in%2520Use%26utm_content%3DLogitech%2520QuickCam%2520Pro%25209000%26srsltid%3DAfmBOoqf7QXAPQsTv-h5ePcQ_UFiKs4opItguOou9rzdu8eSmxojKqDZIUQ&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAi_AQ&usg=AOvVaw0BEw0ZYtwsotSzj1LlBQC9,10.0,€,4.5,579,à neuf) chez Back in Use
Logitech C310 HD Webcam,https://google.com/url?q=https://www.conrad.fr/fr/p/webcam-hd-1280-x-720-pixel-logitech-c310-pied-de-support-support-a-pince-973987.html%3Fexperience%3Db2c%26utm_source%3Dgoogle%26utm_medium%3Dsurfaces%26utm_campaign%3Dshopping-feed%26utm_content%3Dfree-google-shopping-clicks%26utm_term%3D973987&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjDAQ&usg=AOvVaw3dstgnMTZopXPBS2NVZxm8,28.99,€,4.5,2266,Conrad.fr
Razer Kiyo Pro Ultra - 4K Streaming Webcam with DSLR Video,https://google.com/url?q=https://www.razer.com/fr-fr/streaming-cameras/Razer-Kiyo-Pro-Ultra/RZ19-04420100-R3M1%3Fsrsltid%3DAfmBOooS82zWYOzEUd_6Wbwz3zf-O0MlIKztHwKAo_AY6AP0VJztDoD_e_4&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjHAQ&usg=AOvVaw0E5gHxOCPf7EPbO4kBmU9v,349.99,€,5.0,4,Razer.com
Microsoft Modern Webcam,https://google.com/url?q=https://www.lambda-tek.com/Microsoft-8L3-00005-shFR/B45766481%26origin%3DgbaseFR16.10%3Fsrsltid%3DAfmBOopImVZwUFIY3kvRrGfMDXWvJw-G9i-clwp-ATQHO--uvaCq2x1pNMk&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjLAQ&usg=AOvVaw0XYr-kXW2fK_FW2cCjuNYZ,103.37,€,4.5,70,LambdaTek
Logitech C270 HD Webcam,https://google.com/url?q=https://e.leclerc/fp/5099206064201&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjPAQ&usg=AOvVaw3eWTy9jBEyFZP_2IM8tDmJ,24.41,€,4.5,33255,E.Leclerc
Microsoft LifeCam HD-3000 - Webcam,https://google.com/url?q=https://greatecno.com/fr/webcams/239548-webcam-microsoft-lifecam-hd-3000-720p-noir-0885370428421.html%3Fcountry%3Dfr%26srsltid%3DAfmBOooaxhwgWv6-963HEV-TYslNSREEnwYLgl5C9Dgfw-bHXxbYXqiJSNw&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjTAQ&usg=AOvVaw0KfXOC6sxKqIEi4gmlUFvu,157.21,€,4.5,1890,GreaTecno
Logitech Webcam Brio 500 Blanc,https://google.com/url?q=https://www.grosbill.com/webcam/logitech-logitech-brio-500-webcam-125605.aspx&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjXAQ&usg=AOvVaw3jj6Ad7IQ6eA_QoGP6rNdw,123.95,€,4.5,830,Grosbill
Webcam Port Full HD,https://google.com/url?q=https://www.pieces-electro.com/be/Prix/WEBCAM-FULL-HD-3098329.html%3Futm_source%3Dgoogle%26utm_medium%3Dcomparateur%26utm_campaign%3Dshopping%26srsltid%3DAfmBOoo0umxaub5a_L7WYFBteIeSznHjWVohSjCyppU6-y3wKPYhN6IBtGU&opi=95576897&sa=U&ved=0ahUKEwiiy_LukaiNAxUmT6QEHVDrADU4KBCwPAjbAQ&usg=AOvVaw1HwROfvfyoP8sWt65ottk2,36.2,€,4.0,66,Pieces-electro.com
